"Date","Amount_Theft"
"2004-02-09",209
"2004-02-10",211
"2004-02-11",192
"2004-02-12",204
"2004-02-13",249
"2004-02-14",233
"2004-02-15",164
"2004-02-16",200
"2004-02-17",227
"2004-02-18",230
"2004-02-19",225
"2004-02-20",256
"2004-02-21",217
"2004-02-22",184
"2004-02-23",235
"2004-02-24",224
"2004-02-25",239
"2004-02-26",227
"2004-02-27",231
"2004-02-28",245
"2004-02-29",213
"2004-03-01",330
"2004-03-02",235
"2004-03-03",234
"2004-03-04",241
"2004-03-05",281
"2004-03-06",223
"2004-03-07",205
"2004-03-08",228
"2004-03-09",207
"2004-03-10",243
"2004-03-11",231
"2004-03-12",237
"2004-03-13",234
"2004-03-14",186
"2004-03-15",255
"2004-03-16",226
"2004-03-17",256
"2004-03-18",251
"2004-03-19",266
"2004-03-20",240
"2004-03-21",192
"2004-03-22",233
"2004-03-23",256
"2004-03-24",242
"2004-03-25",263
"2004-03-26",259
"2004-03-27",248
"2004-03-28",219
"2004-03-29",257
"2004-03-30",244
"2004-03-31",263
"2004-04-01",332
"2004-04-02",246
"2004-04-03",260
"2004-04-04",208
"2004-04-05",257
"2004-04-06",250
"2004-04-07",228
"2004-04-08",247
"2004-04-09",236
"2004-04-10",233
"2004-04-11",151
"2004-04-12",236
"2004-04-13",219
"2004-04-14",234
"2004-04-15",267
"2004-04-16",233
"2004-04-17",214
"2004-04-18",187
"2004-04-19",260
"2004-04-20",234
"2004-04-21",252
"2004-04-22",261
"2004-04-23",267
"2004-04-24",244
"2004-04-25",192
"2004-04-26",218
"2004-04-27",213
"2004-04-28",278
"2004-04-29",240
"2004-04-30",226
"2004-05-01",306
"2004-05-02",195
"2004-05-03",235
"2004-05-04",259
"2004-05-05",230
"2004-05-06",226
"2004-05-07",250
"2004-05-08",233
"2004-05-09",201
"2004-05-10",253
"2004-05-11",225
"2004-05-12",277
"2004-05-13",245
"2004-05-14",268
"2004-05-15",291
"2004-05-16",229
"2004-05-17",270
"2004-05-18",254
"2004-05-19",254
"2004-05-20",280
"2004-05-21",266
"2004-05-22",230
"2004-05-23",208
"2004-05-24",271
"2004-05-25",278
"2004-05-26",262
"2004-05-27",264
"2004-05-28",269
"2004-05-29",256
"2004-05-30",213
"2004-05-31",231
"2004-06-01",390
"2004-06-02",265
"2004-06-03",256
"2004-06-04",298
"2004-06-05",237
"2004-06-06",259
"2004-06-07",286
"2004-06-08",243
"2004-06-09",289
"2004-06-10",279
"2004-06-11",266
"2004-06-12",289
"2004-06-13",248
"2004-06-14",292
"2004-06-15",296
"2004-06-16",282
"2004-06-17",279
"2004-06-18",294
"2004-06-19",258
"2004-06-20",240
"2004-06-21",309
"2004-06-22",274
"2004-06-23",285
"2004-06-24",260
"2004-06-25",306
"2004-06-26",265
"2004-06-27",235
"2004-06-28",311
"2004-06-29",314
"2004-06-30",312
"2004-07-01",397
"2004-07-02",289
"2004-07-03",260
"2004-07-04",269
"2004-07-05",295
"2004-07-06",347
"2004-07-07",353
"2004-07-08",328
"2004-07-09",327
"2004-07-10",328
"2004-07-11",249
"2004-07-12",330
"2004-07-13",355
"2004-07-14",360
"2004-07-15",403
"2004-07-16",382
"2004-07-17",335
"2004-07-18",307
"2004-07-19",339
"2004-07-20",356
"2004-07-21",340
"2004-07-22",291
"2004-07-23",324
"2004-07-24",290
"2004-07-25",291
"2004-07-26",337
"2004-07-27",305
"2004-07-28",353
"2004-07-29",351
"2004-07-30",286
"2004-07-31",294
"2004-08-01",375
"2004-08-02",336
"2004-08-03",323
"2004-08-04",335
"2004-08-05",357
"2004-08-06",322
"2004-08-07",300
"2004-08-08",311
"2004-08-09",299
"2004-08-10",313
"2004-08-11",342
"2004-08-12",317
"2004-08-13",354
"2004-08-14",305
"2004-08-15",281
"2004-08-16",323
"2004-08-17",318
"2004-08-18",315
"2004-08-19",359
"2004-08-20",345
"2004-08-21",340
"2004-08-22",262
"2004-08-23",322
"2004-08-24",331
"2004-08-25",322
"2004-08-26",316
"2004-08-27",353
"2004-08-28",280
"2004-08-29",307
"2004-08-30",331
"2004-08-31",345
"2004-09-01",422
"2004-09-02",291
"2004-09-03",290
"2004-09-04",298
"2004-09-05",283
"2004-09-06",251
"2004-09-07",308
"2004-09-08",286
"2004-09-09",256
"2004-09-10",323
"2004-09-11",267
"2004-09-12",244
"2004-09-13",303
"2004-09-14",303
"2004-09-15",299
"2004-09-16",340
"2004-09-17",296
"2004-09-18",270
"2004-09-19",264
"2004-09-20",298
"2004-09-21",307
"2004-09-22",310
"2004-09-23",264
"2004-09-24",291
"2004-09-25",280
"2004-09-26",236
"2004-09-27",261
"2004-09-28",269
"2004-09-29",277
"2004-09-30",283
"2004-10-01",408
"2004-10-02",224
"2004-10-03",221
"2004-10-04",265
"2004-10-05",268
"2004-10-06",284
"2004-10-07",307
"2004-10-08",279
"2004-10-09",229
"2004-10-10",248
"2004-10-11",292
"2004-10-12",275
"2004-10-13",261
"2004-10-14",294
"2004-10-15",362
"2004-10-16",295
"2004-10-17",224
"2004-10-18",280
"2004-10-19",284
"2004-10-20",311
"2004-10-21",267
"2004-10-22",328
"2004-10-23",263
"2004-10-24",246
